kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,geometric_eor_window,status,dpss_rank,spectral_window_self_fraction,relative_filter_sensitivity,qbeta_evaluated,relative_qbeta_response,geometric_window_response_fraction,same_cell_response_fraction,window_effective_width_source_bands,exact_broad_candidate,bank_pure_error_percent,bank_total_error_percent,heldout_worst_pure_error_percent,heldout_worst_total_error_percent,heldout_worst_foreground_effect_percent
2,3,0.1419518551644766,0.3026743396546639,1,recoverable_windowed_bandpower,13,0.4789241780222396,0.9006150205316114,1,0.9454297601483711,0.9990925797891479,0.4045628207686916,4.0997223208440605,1,19.162569443000535,19.179210552548412,10.479078654929893,10.507135725894267,0.11957942640033095
2,4,0.1419518551644766,0.4035657862062185,1,recoverable_windowed_bandpower,13,0.3217400850552718,0.9994871506876088,1,0.9413172630752189,0.9996457346616163,0.2874609630803877,5.264689976568246,1,17.010398598920972,17.010842741696266,10.318715416410045,10.326495944957692,0.015451271283443391
2,5,0.1419518551644766,0.5044572327577731,1,recoverable_windowed_bandpower,13,0.32363402321531237,0.9999396674972916,1,0.9513014959741073,0.9999596839363246,0.2893406401786189,5.237521374104557,1,16.142448484496434,16.150797497272464,10.946744048207846,10.937131476543355,0.018081341283787578
2,6,0.1419518551644766,0.6053486793093278,1,physical_eor_closure_failure,13,0.3226053546010378,0.9999871741853879,1,0.9376257628677658,0.9999996253948717,0.2966796036580643,5.3200842697076105,1,21.685665999804066,21.698448157097864,10.209123301992967,10.205511599955281,0.02543442371475416
2,7,0.1419518551644766,0.7062401258608824,1,physical_eor_closure_failure,13,0.3230690196219538,0.9999961495052624,1,0.9339253063900929,0.9999999716751531,0.29143512351017914,5.336778700423942,1,24.348698767362016,24.36705024096839,10.897778470143097,10.90133553934336,0.02612800394923184
2,8,0.1419518551644766,0.807131572412437,1,physical_eor_closure_failure,13,0.3228390320748942,0.9999985667250486,1,0.9477658879297862,0.9999999946383875,0.28899695966983935,5.252472475012562,1,25.652633456366015,25.667329993928618,14.009806293818846,14.00511749063075,0.03700052778561904
2,9,0.1419518551644766,0.9080230189639916,1,physical_eor_closure_failure,13,0.32296000929080343,0.9999993868145108,1,0.9485667352247106,0.9999999984975276,0.2861700367868029,5.351891801524299,1,32.933564956765096,32.94246839872714,10.037602412947734,10.007373750361255,0.06169125061727605
2,10,0.1419518551644766,1.0089144655155462,1,physical_eor_closure_failure,13,0.32289186403541487,0.999999713114751,1,0.9521395578792361,0.9999999994788529,0.2997617963607214,5.239903316909029,1,36.68658360272948,36.69117660130855,11.699428667845764,11.725598469126293,0.06455055204336357
2,11,0.1419518551644766,1.109805912067101,1,physical_eor_closure_failure,13,0.3229319652750435,0.9999998586840616,1,0.953924424843413,0.9999999997914254,0.2912421230724921,5.284500920875196,1,36.80247515343489,36.79760278467615,12.826999198698092,12.817592304455975,0.045337535374327095
2,12,0.1419518551644766,1.2106973586186556,1,physical_eor_closure_failure,13,0.3229079571910868,0.999999929219268,1,0.9518933776851485,0.9999999999075168,0.2902703354282175,5.281880410490521,1,37.0008162608829,36.99396163385246,13.421723168164828,13.430194261466784,0.04105325075880698
2,13,0.1419518551644766,1.31158880517021,1,physical_eor_closure_failure,13,0.32292481823277985,0.9999999653064674,1,0.9555469011287184,0.999999999955911,0.30045566210992036,5.214874493725175,1,40.757080497495856,40.792980618324904,10.152031677857286,10.172488257496468,0.06429635440364789
2,14,0.1419518551644766,1.4124802517217647,1,physical_eor_closure_failure,13,0.3229283632121271,0.9999999840707371,1,0.95892834440092,0.9999999999771211,0.29366950028796784,5.250068335628549,1,42.70057363317262,42.72941444015406,10.114324987709596,10.123777461634463,0.04326907691104049
2,15,0.1419518551644766,1.5133716982733196,1,physical_eor_closure_failure,13,0.3543172547177958,0.9999999931523501,1,0.9386088316262233,0.9999999999858584,0.28759763727012533,5.1859133774574975,1,42.6369620384104,42.68223927386507,9.913858213157384,9.940445870403627,0.03745352013198513
3,0,0.19109286178763807,0.0,0,outside_eor_window,14,5.066561274575513e-15,0.00026123332797084805,0,,,,,,,,,,
3,1,0.19109286178763807,0.10089144655155463,0,outside_eor_window,14,1.7825677346019536e-14,0.006352627618937265,0,,,,,,,,,,
3,2,0.19109286178763807,0.20178289310310926,1,recoverable_windowed_bandpower,14,0.0028357483293809287,0.24757056874858563,1,0.9074492458221484,0.9989513745963151,0.010693999631404093,3.48765229072844,1,9.519883682734832,9.480872151917646,18.31185534006563,18.338846862587218,0.0731852968461419
3,3,0.19109286178763807,0.3026743396546639,1,recoverable_windowed_bandpower,14,0.49009404480717106,0.8341558855236626,1,0.9187088740573666,0.9991631157415569,0.3764617449301677,4.272334034726107,1,11.031847372325045,11.015978407530893,16.691743360922647,16.708773511531607,0.046362460829517504
3,4,0.19109286178763807,0.4035657862062185,1,recoverable_windowed_bandpower,14,0.313077195703815,0.9983486522667477,1,0.9365419610470885,0.9996521138230251,0.26907326969553164,5.948538821970051,1,12.029295201064139,12.026286177446092,12.384415304882799,12.370870758103429,0.02876022882777497
3,5,0.19109286178763807,0.5044572327577731,1,recoverable_windowed_bandpower,14,0.3250201633864199,0.9998626725328916,1,0.9751928145235874,0.9999574237152971,0.28258031133909683,5.8149591273078265,1,15.40480441534002,15.411487073200721,10.606175213183157,10.596158226452973,0.01984058256317942
3,6,0.19109286178763807,0.6053486793093278,1,physical_eor_closure_failure,14,0.32242286859588,0.9999764935368419,1,0.9674386641061393,0.9999994587712089,0.26443595814426546,5.942481159042504,1,20.587204957494535,20.581832588707965,16.518555478762224,16.527249403479477,0.011039929567517447
3,7,0.19109286178763807,0.7062401258608824,1,recoverable_windowed_bandpower,14,0.3230643097081536,0.9999938346351883,1,0.9428578064093657,0.9999999719616306,0.2605050333970185,6.037304058149319,1,13.702274311173015,13.701700880124298,10.281810563318183,10.283182213973872,0.023397206649989188
3,8,0.19109286178763807,0.807131572412437,1,recoverable_windowed_bandpower,14,0.3228710574364179,0.9999979107054888,1,0.9260461964164162,0.9999999952271006,0.2766016240085529,5.968995602307336,1,15.178983758720682,15.164265325924491,8.220092145125154,8.21690308751645,0.027182384580155844
3,9,0.19109286178763807,0.9080230189639916,1,recoverable_windowed_bandpower,14,0.3229318645571357,0.9999991669449353,1,0.9447554012246828,0.9999999987685754,0.27647319316788355,5.816269962711271,1,15.879333998519268,15.883550937837015,11.898060634341281,11.918086357681176,0.028548702172698427
3,10,0.19109286178763807,1.0089144655155462,1,physical_eor_closure_failure,14,0.32291266020720133,0.9999996310293167,1,0.9456736657182799,0.9999999995803863,0.25735925541830473,6.013159897745098,1,21.287444388821893,21.310961932434576,11.714273422889345,11.705113915362087,0.03133271145109215
3,11,0.19109286178763807,1.109805912067101,1,physical_eor_closure_failure,14,0.32291754194626965,0.9999998257814833,1,0.9373335272096575,0.9999999998288638,0.27660594372096603,5.818436374047975,1,28.8942749469903,28.91169244656991,9.60788576503764,9.596331552261733,0.06470108671316908
3,12,0.19109286178763807,1.2106973586186556,1,physical_eor_closure_failure,14,0.32291783055477574,0.9999999153353452,1,0.9377166252724303,0.9999999999222207,0.2729138040522421,5.891475267999348,1,25.00945171420946,24.987192802510137,11.30009699963829,11.311188900185352,0.03151620258410293
3,13,0.19109286178763807,1.31158880517021,1,recoverable_windowed_bandpower,14,0.32291807170565257,0.9999999591356372,1,0.9486092270309668,0.9999999999617885,0.27381132635923655,5.963900350653559,1,18.7297910085488,18.71615292503412,9.160445739909175,9.161101763969942,0.025759130099894133
