label,baseline_cell_index,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,target_windowed_power,pure_eor_signed_error_percent,total_signed_error_percent,foreground_auto_over_target,geometric_window_response_fraction,window_effective_width
dpss_hard_e12_hann,18,253,15,13,0.7832477472141173,1.320497928197488,1.0713788431734334e-05,0.6963951047393984,0.6958109020521605,9.257002636682607e-08,0.9988834741427808,4.883921065208625
dpss_hard_e12_hann,19,254,15,14,0.7832477472141173,1.422074691904987,9.815545694277458e-06,-7.839014066078724,-7.840162642190397,1.0366471219906761e-07,0.9515059848132954,4.9969868711523935
dpss_hard_e10_hann,0,109,6,13,0.3395836519008334,1.320497928197488,1.9859899130286745e-05,-7.707079844739346,-7.712081423358167,6.149387921370119e-06,0.9998720604404956,3.009710657890613
dpss_hard_e10_hann,1,110,6,14,0.3395836519008334,1.422074691904987,1.803370416797191e-05,-7.64872867254383,-7.648457920724535,6.974261734624803e-06,0.9944680674377508,3.0872467981100993
dpss_hard_e10_hann,2,125,7,13,0.3888796624911983,1.320497928197488,1.9063927852538325e-05,-11.124464388705793,-11.119531316343444,2.9694400258973206e-06,0.9998803953262817,3.358996084582068
dpss_hard_e10_hann,3,126,7,14,0.3888796624911983,1.422074691904987,1.6872742089326746e-05,-15.654611079355144,-15.656517352072264,2.9887246431097734e-06,0.9931489373854849,3.287442225300269
dpss_hard_e10_hann,4,141,8,13,0.43817567308156313,1.320497928197488,1.7495058502446178e-05,-7.933281778853969,-7.929909908183137,1.4023793731631063e-06,0.9998705532987352,3.3888085859998087
dpss_hard_e10_hann,5,142,8,14,0.43817567308156313,1.422074691904987,1.5870531044139214e-05,-6.535567011970459,-6.538053860592075,1.740486146952139e-06,0.9898164415481036,3.566610167571976
dpss_hard_e10_hann,6,157,9,13,0.48747168367192806,1.320497928197488,1.659877740649914e-05,-2.7555106926473023,-2.7573004330219058,9.360373034789962e-07,0.9998654176835701,3.545907033002177
dpss_hard_e10_hann,7,158,9,14,0.48747168367192806,1.422074691904987,1.5284634691006066e-05,-5.476921356957212,-5.4807425513045755,1.1703422880262569e-06,0.9857792406516126,3.5346637871864215
dpss_hard_e10_hann,8,173,10,13,0.536767694262293,1.320497928197488,1.5197595883097648e-05,-7.853092255097758,-7.850394527493442,2.6627758985720278e-06,0.9998700537974059,3.720037147981417
dpss_hard_e10_hann,9,174,10,14,0.536767694262293,1.422074691904987,1.3879116658870837e-05,-4.4551132667296,-4.4492066447944305,2.1710816695719054e-06,0.9823537577640337,3.84421302740939
dpss_hard_e10_hann,10,189,11,13,0.5860637048526578,1.320497928197488,1.4178612901555209e-05,2.580430283186291,2.5945490620323577,1.6775329941176305e-06,0.9998608863673542,3.9462672318129273
dpss_hard_e10_hann,11,190,11,14,0.5860637048526578,1.422074691904987,1.3210506429567689e-05,-1.8477263914523867,-1.8380029291309732,2.92177024524995e-06,0.9775153886993597,3.8583373177730356
dpss_hard_e10_hann,12,205,12,13,0.6353597154430227,1.320497928197488,1.3277790746578788e-05,0.8382620859543891,0.8397398232167141,1.260811953910253e-06,0.9997984485770403,4.133476879830079
dpss_hard_e10_hann,13,206,12,14,0.6353597154430227,1.422074691904987,1.214143147034769e-05,-2.6773033008497626,-2.6777414240304345,1.4229769799669413e-06,0.9707615640489206,4.030740646823144
dpss_hard_e10_hann,14,221,13,13,0.6846557260333876,1.320497928197488,1.2316500884741302e-05,-11.396623689597375,-11.395882010137774,9.845978143012484e-08,0.9996404308414549,4.381177324690498
dpss_hard_e10_hann,15,222,13,14,0.6846557260333876,1.422074691904987,1.139535183075286e-05,-6.019126013160449,-6.019728777812385,9.528431072317117e-08,0.9657358474976366,4.398290721788723
dpss_hard_e10_hann,16,237,14,13,0.7339517366237525,1.320497928197488,1.1619241680167109e-05,1.803252248954484,1.8028307770396335,8.620233468784867e-08,0.9993002735240235,4.724081730268598
dpss_hard_e10_hann,17,238,14,14,0.7339517366237525,1.422074691904987,1.0647851218303902e-05,1.4971832802485363,1.497615667516309,9.152819216721245e-08,0.9560458862284924,4.761849526237657
dpss_hard_e10_hann,18,253,15,13,0.7832477472141173,1.320497928197488,1.0713672129154448e-05,0.7606175008687165,0.7593962052624341,1.1873213723161989e-07,0.9988787717941301,4.882513285964857
dpss_hard_e10_hann,19,254,15,14,0.7832477472141173,1.422074691904987,9.815407135404285e-06,-7.848680797813092,-7.849675529306508,1.1812295593372882e-07,0.9515418641539998,4.996046180118985
dpss_hard_e8_hann,0,109,6,13,0.3395836519008334,1.320497928197488,1.985999564263e-05,-7.696123758919933,-7.691080297101983,8.070043448404666e-06,0.9998723590532561,3.0099828186155113
dpss_hard_e8_hann,1,110,6,14,0.3395836519008334,1.422074691904987,1.803376006741637e-05,-7.657093736176692,-7.675109656441304,1.4715271391196692e-05,0.9944698924989617,3.0876253658150787
dpss_hard_e8_hann,2,125,7,13,0.3888796624911983,1.320497928197488,1.9063931316017415e-05,-11.122877302347943,-11.123788617216482,1.5411676459362093e-05,0.9998806255086999,3.3592504352010564
dpss_hard_e8_hann,3,126,7,14,0.3888796624911983,1.422074691904987,1.6872848786564204e-05,-15.650222224666999,-15.641726065892191,2.470233404208824e-05,0.993149641131727,3.2877918507389365
dpss_hard_e8_hann,4,141,8,13,0.43817567308156313,1.320497928197488,1.7495029388321923e-05,-7.883796108907065,-7.882296816760221,1.8861782127566024e-06,0.9998679899420608,3.3891131678645334
dpss_hard_e8_hann,5,142,8,14,0.43817567308156313,1.422074691904987,1.587057576864188e-05,-6.559805725039013,-6.562361091101144,1.9409660484909943e-06,0.9898051345074858,3.566763856824737
dpss_hard_e8_hann,6,157,9,13,0.48747168367192806,1.320497928197488,1.65987836481873e-05,-2.731126300710194,-2.745544794866839,5.216659818732818e-06,0.9998627551782266,3.5461664292167905
dpss_hard_e8_hann,7,158,9,14,0.48747168367192806,1.422074691904987,1.5284644763763947e-05,-5.496946756272332,-5.499657930158158,3.6716405787537587e-06,0.9857667643501793,3.534781833741291
dpss_hard_e8_hann,8,173,10,13,0.536767694262293,1.320497928197488,1.5197657768987724e-05,-7.851732488208166,-7.901641039102021,7.835051747312795e-05,0.9998676633441702,3.7203109095244336
dpss_hard_e8_hann,9,174,10,14,0.536767694262293,1.422074691904987,1.3879116794936697e-05,-4.448346422910998,-4.368018494656344,3.141375158916693e-05,0.9823418074689342,3.8442666964747523
dpss_hard_e8_hann,10,189,11,13,0.5860637048526578,1.320497928197488,1.417853932751272e-05,2.5831556161725353,2.6009032017342153,1.9565932541797606e-06,0.9998606190270726,3.9460180897906456
