label,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,in_baseline_broad_support,added_vs_baseline_broad_support,target_windowed_power,bank_pure_signed_error_percent,bank_total_signed_error_percent,foreground_auto_over_target,heldout_phase_count,heldout_passing_20pct_phase_count,heldout_worst_total_error_percent,heldout_worst_foreground_effect_percent,geometric_window_response_fraction,relative_response,window_effective_width
dpss_narrow32_e12_hann,182,11,6,0.5842209147729299,0.6053486793093278,1,0,4.832787319498952e-05,9.758726704611687,9.754158807632262,5.301226124863146e-06,16,16,10.704986314531247,0.03128030788556311,0.9999841695135905,0.973276801883942,8.047096931477142
dpss_narrow32_e12_hann,183,11,7,0.5842209147729299,0.7062401258608824,1,0,3.777373209168474e-05,2.447348837359134,2.4586791305488154,1.6523458927187232e-06,16,16,10.855221642775497,0.010970652967068097,0.9999997532158653,0.9688787412368416,8.07398924563558
dpss_narrow32_e12_hann,184,11,8,0.5842209147729299,0.807131572412437,1,0,3.0178146504504222e-05,-1.9147220360955914,-1.9072219421402834,1.1446431837168197e-06,16,16,8.374699500072337,0.007803338201321997,0.9999999390781549,0.9763918706944424,7.838853924332026
dpss_narrow32_e12_hann,185,11,9,0.5842209147729299,0.9080230189639916,1,0,2.4500615689382103e-05,-0.7343916662451861,-0.7270312435350562,1.0506516478908404e-06,16,16,7.78433982937448,0.01148909715475667,0.9999999811595339,0.9800264043302939,7.867892843416987
dpss_narrow32_e12_hann,186,11,10,0.5842209147729299,1.0089144655155462,1,0,2.0018307666416416e-05,4.9114405852815235,4.9123118051989945,1.1865114108117204e-06,16,16,15.162907225396467,0.010045921729122846,0.9999999943593229,0.9604891384909773,8.014505330743333
dpss_narrow32_e12_hann,187,11,11,0.5842209147729299,1.109805912067101,1,0,1.680243117151135e-05,7.124939464939018,7.117723413452871,1.8762199266605949e-06,16,16,16.00114636298478,0.01606515429815771,0.9999999983424269,0.9508741726745025,7.9873945746113915
dpss_narrow32_e12_hann,188,11,12,0.5842209147729299,1.2106973586186556,1,0,1.468616528675573e-05,10.169978930199768,10.15613750954966,2.2344478305772506e-06,16,16,13.502262218582533,0.020498564862765363,0.9999999995136485,0.9633331446404754,7.862435794784213
dpss_narrow32_e12_hann,189,11,13,0.5842209147729299,1.31158880517021,1,0,1.3121593247264614e-05,9.283401224476616,9.270868952146857,2.1919195471997244e-06,16,16,8.58281091132937,0.02043366786192599,0.9999999998498014,0.9627119485868945,8.00704645826376
dpss_narrow32_e12_hann,190,11,14,0.5842209147729299,1.4124802517217647,1,0,1.2095406427574476e-05,5.415508336815973,5.415984369521473,2.359831270219373e-06,16,16,9.122714023578075,0.009500742593596373,0.999999999952473,0.9684329668390027,8.12040419173841
dpss_narrow32_e12_hann,191,11,15,0.5842209147729299,1.5133716982733196,1,0,1.1512053000248209e-05,10.174594464173495,10.182501082578359,3.2807902361052423e-06,16,16,11.115848936968641,0.018597726529472395,0.9999999999845224,0.9714550282949502,6.955928924291583
